Number_of_throws;	Integral_value;	Integral_error;	sigma_value;	sigma_error;	Chi^2;	prob_poisson
990000;	4.99952e-01;	2.77453e-04;	8.32485e-02;	7.20258e-05;	9.00690e-07;	9.00690e-10
1000000;	4.99955e-01;	2.74684e-04;	8.32492e-02;	7.13048e-05;	8.91723e-07;	8.91723e-10
1010000;	4.99915e-01;	2.74934e-04;	8.32431e-02;	7.08601e-05;	8.83038e-07;	8.83038e-10
1020000;	4.99899e-01;	2.72681e-04;	8.32554e-02;	7.12310e-05;	8.74580e-07;	8.74580e-10
1030000;	4.99847e-01;	2.74966e-04;	8.32636e-02;	7.10176e-05;	8.66543e-07;	8.66543e-10
1040000;	4.99855e-01;	2.72422e-04;	8.32581e-02;	7.05433e-05;	8.58615e-07;	8.58615e-10
1050000;	4.99901e-01;	2.73660e-04;	8.32588e-02;	6.98709e-05;	8.50625e-07;	8.50625e-10
1060000;	4.99872e-01;	2.72601e-04;	8.32585e-02;	6.92089e-05;	8.42910e-07;	8.42910e-10
1070000;	4.99869e-01;	2.70056e-04;	8.32591e-02;	6.85616e-05;	8.35353e-07;	8.35353e-10
1080000;	4.99861e-01;	2.67671e-04;	8.32590e-02;	6.79240e-05;	8.27977e-07;	8.27977e-10
1090000;	4.99820e-01;	2.68318e-04;	8.32673e-02;	6.78107e-05;	8.20975e-07;	8.20975e-10
1100000;	4.99834e-01;	2.66248e-04;	8.32746e-02;	6.75911e-05;	8.14012e-07;	8.14012e-10
1110000;	4.99816e-01;	2.64457e-04;	8.32705e-02;	6.71058e-05;	8.07287e-07;	8.07287e-10
1120000;	4.99827e-01;	2.62299e-04;	8.32673e-02;	6.65813e-05;	8.00615e-07;	8.00615e-10
1130000;	4.99803e-01;	2.61063e-04;	8.32671e-02;	6.59898e-05;	7.94218e-07;	7.94218e-10
1140000;	4.99782e-01;	2.59570e-04;	8.32652e-02;	6.54339e-05;	7.88082e-07;	7.88082e-10
1150000;	4.99719e-01;	2.65063e-04;	8.32740e-02;	6.54506e-05;	7.82605e-07;	7.82605e-10
1160000;	4.99707e-01;	2.63022e-04;	8.32674e-02;	6.52147e-05;	7.77337e-07;	7.77337e-10
1170000;	4.99695e-01;	2.61062e-04;	8.32650e-02;	6.46998e-05;	7.72287e-07;	7.72287e-10
1180000;	4.99686e-01;	2.58992e-04;	8.32598e-02;	6.43606e-05;	7.67415e-07;	7.67415e-10
