Numero_Lanci;Valore_Integrale
125999;0.998116
126099;0.998129
126199;0.998113
126299;0.99808
126399;0.998084
126499;0.997987
126599;0.998039
126699;0.998077
126799;0.998085
126899;0.998087
126999;0.998034
127099;0.998043
127199;0.998002
127299;0.997951
127399;0.997944
127499;0.997876
127599;0.997913
127699;0.997875
127799;0.997835
127899;0.997835
127999;0.997863
128099;0.997781
128199;0.997781
128299;0.997748
128399;0.997742
128499;0.997721
128599;0.997664
128699;0.99772
128799;0.997718
128899;0.997661
128999;0.997652
129099;0.997674
129199;0.997696
129299;0.997727
129399;0.997732
129499;0.997731
129599;0.997799
129699;0.997811
129799;0.99783
129899;0.99782
129999;0.997808
130099;0.997774
130199;0.997769
130299;0.997791
130399;0.997827
130499;0.997831
130599;0.997828
130699;0.997876
130799;0.997831
130899;0.997796
130999;0.997732
131099;0.997763
131199;0.99775
131299;0.997717
131399;0.997723
131499;0.997697
131599;0.997632
131699;0.997628
131799;0.997666
131899;0.997667
131999;0.997696
132099;0.997677
132199;0.997657
132299;0.997628
132399;0.997641
132499;0.997657
132599;0.997657
132699;0.997663
132799;0.997652
132899;0.997683
132999;0.997635
133099;0.997638
133199;0.997639
133299;0.997598
133399;0.997646
133499;0.997633
133599;0.997614
133699;0.997566
133799;0.997558
133899;0.997556
133999;0.997509
134099;0.997559
134199;0.997569
134299;0.997582
134399;0.9976
134499;0.997631
134599;0.997651
134699;0.997591
134799;0.997571
134899;0.997559
134999;0.997571
135099;0.997603
135199;0.9976
135299;0.997557
135399;0.997538
135499;0.997618
135599;0.997599
135699;0.997607
135799;0.997638
135899;0.997634
135999;0.997713
136099;0.997733
136199;0.997753
136299;0.997805
136399;0.997905
136499;0.997942
136599;0.997977
136699;0.997936
136799;0.997966
136899;0.997986
136999;0.997926
137099;0.997917
137199;0.997932
137299;0.997888
137399;0.997847
137499;0.997819
137599;0.997853
137699;0.997817
137799;0.99777
137899;0.997837
137999;0.997867
138099;0.997885
138199;0.997876
138299;0.997909
138399;0.997854
138499;0.997888
138599;0.997919
138699;0.997924
138799;0.997963
138899;0.997922
138999;0.997976
139099;0.998016
139199;0.998002
139299;0.997998
139399;0.997989
139499;0.998018
139599;0.998059
139699;0.998074
139799;0.99805
